iso_a0,pais,adm_1_name,ano,mes,agua_basica
ARG,Argentina,BUENOS AIRES,2022,1,99.0414
ARG,Argentina,BUENOS AIRES,2022,2,99.0414
ARG,Argentina,BUENOS AIRES,2022,3,99.0414
ARG,Argentina,BUENOS AIRES,2022,4,99.0414
ARG,Argentina,BUENOS AIRES,2022,5,99.0414
ARG,Argentina,BUENOS AIRES,2022,6,99.0414
ARG,Argentina,BUENOS AIRES,2022,7,99.0414
ARG,Argentina,BUENOS AIRES,2022,8,99.0414
ARG,Argentina,BUENOS AIRES,2022,9,99.0414
ARG,Argentina,BUENOS AIRES,2022,10,99.0414
ARG,Argentina,BUENOS AIRES,2022,11,99.0414
ARG,Argentina,BUENOS AIRES,2022,12,99.0414
ARG,Argentina,BUENOS AIRES,2021,1,99.0414
ARG,Argentina,BUENOS AIRES,2021,2,99.0414
ARG,Argentina,BUENOS AIRES,2021,3,99.0414
ARG,Argentina,BUENOS AIRES,2021,4,99.0414
ARG,Argentina,BUENOS AIRES,2021,5,99.0414
ARG,Argentina,BUENOS AIRES,2021,6,99.0414
ARG,Argentina,BUENOS AIRES,2021,7,99.0414
ARG,Argentina,BUENOS AIRES,2021,8,99.0414
ARG,Argentina,BUENOS AIRES,2021,9,99.0414
ARG,Argentina,BUENOS AIRES,2021,10,99.0414
ARG,Argentina,BUENOS AIRES,2021,11,99.0414
ARG,Argentina,BUENOS AIRES,2021,12,99.0414
ARG,Argentina,BUENOS AIRES,2020,1,99.0414
ARG,Argentina,BUENOS AIRES,2020,2,99.0414
ARG,Argentina,BUENOS AIRES,2020,3,99.0414
ARG,Argentina,BUENOS AIRES,2020,4,99.0414
ARG,Argentina,BUENOS AIRES,2020,5,99.0414
ARG,Argentina,BUENOS AIRES,2020,6,99.0414
ARG,Argentina,BUENOS AIRES,2020,7,99.0414
ARG,Argentina,BUENOS AIRES,2020,8,99.0414
ARG,Argentina,BUENOS AIRES,2020,9,99.0414
ARG,Argentina,BUENOS AIRES,2020,10,99.0414
ARG,Argentina,BUENOS AIRES,2020,11,99.0414
ARG,Argentina,BUENOS AIRES,2020,12,99.0414
ARG,Argentina,BUENOS AIRES,2019,1,99.0414
ARG,Argentina,BUENOS AIRES,2019,2,99.0414
ARG,Argentina,BUENOS AIRES,2019,3,99.0414
ARG,Argentina,BUENOS AIRES,2019,4,99.0414
ARG,Argentina,BUENOS AIRES,2019,5,99.0414
ARG,Argentina,BUENOS AIRES,2019,6,99.0414
ARG,Argentina,BUENOS AIRES,2019,7,99.0414
ARG,Argentina,BUENOS AIRES,2019,8,99.0414
ARG,Argentina,BUENOS AIRES,2019,9,99.0414
ARG,Argentina,BUENOS AIRES,2019,10,99.0414
ARG,Argentina,BUENOS AIRES,2019,11,99.0414
ARG,Argentina,BUENOS AIRES,2019,12,99.0414
ARG,Argentina,BUENOS AIRES,2018,1,99.0414
ARG,Argentina,BUENOS AIRES,2018,2,99.0414
ARG,Argentina,BUENOS AIRES,2018,3,99.0414
ARG,Argentina,BUENOS AIRES,2018,4,99.0414
ARG,Argentina,BUENOS AIRES,2018,5,99.0414
ARG,Argentina,BUENOS AIRES,2018,6,99.0414
ARG,Argentina,BUENOS AIRES,2018,7,99.0414
ARG,Argentina,BUENOS AIRES,2018,8,99.0414
ARG,Argentina,BUENOS AIRES,2018,9,99.0414
ARG,Argentina,BUENOS AIRES,2018,10,99.0414
ARG,Argentina,BUENOS AIRES,2018,11,99.0414
ARG,Argentina,BUENOS AIRES,2018,12,99.0414
ARG,Argentina,BUENOS AIRES,2017,1,99.0414
ARG,Argentina,BUENOS AIRES,2017,2,99.0414
ARG,Argentina,BUENOS AIRES,2017,3,99.0414
ARG,Argentina,BUENOS AIRES,2017,4,99.0414
ARG,Argentina,BUENOS AIRES,2017,5,99.0414
ARG,Argentina,BUENOS AIRES,2017,6,99.0414
ARG,Argentina,BUENOS AIRES,2017,7,99.0414
ARG,Argentina,BUENOS AIRES,2017,8,99.0414
ARG,Argentina,BUENOS AIRES,2017,9,99.0414
ARG,Argentina,BUENOS AIRES,2017,10,99.0414
ARG,Argentina,BUENOS AIRES,2017,11,99.0414
ARG,Argentina,BUENOS AIRES,2017,12,99.0414
ARG,Argentina,BUENOS AIRES,2016,1,99.0414
ARG,Argentina,BUENOS AIRES,2016,2,99.0414
ARG,Argentina,BUENOS AIRES,2016,3,99.0414
ARG,Argentina,BUENOS AIRES,2016,4,99.0414
ARG,Argentina,BUENOS AIRES,2016,5,99.0414
ARG,Argentina,BUENOS AIRES,2016,6,99.0414
ARG,Argentina,BUENOS AIRES,2016,7,99.0414
ARG,Argentina,BUENOS AIRES,2016,8,99.0414
ARG,Argentina,BUENOS AIRES,2016,9,99.0414
ARG,Argentina,BUENOS AIRES,2016,10,99.0414
ARG,Argentina,BUENOS AIRES,2016,11,99.0414
ARG,Argentina,BUENOS AIRES,2016,12,99.0414
ARG,Argentina,BUENOS AIRES,2015,1,98.9823
ARG,Argentina,BUENOS AIRES,2015,2,98.9823
ARG,Argentina,BUENOS AIRES,2015,3,98.9823
ARG,Argentina,BUENOS AIRES,2015,4,98.9823
ARG,Argentina,BUENOS AIRES,2015,5,98.9823
ARG,Argentina,BUENOS AIRES,2015,6,98.9823
ARG,Argentina,BUENOS AIRES,2015,7,98.9823
ARG,Argentina,BUENOS AIRES,2015,8,98.9823
ARG,Argentina,BUENOS AIRES,2015,9,98.9823
ARG,Argentina,BUENOS AIRES,2015,10,98.9823
ARG,Argentina,BUENOS AIRES,2015,11,98.9823
ARG,Argentina,BUENOS AIRES,2015,12,98.9823
ARG,Argentina,BUENOS AIRES,2014,1,98.9232
ARG,Argentina,BUENOS AIRES,2014,2,98.9232
ARG,Argentina,BUENOS AIRES,2014,3,98.9232
ARG,Argentina,BUENOS AIRES,2014,4,98.9232
ARG,Argentina,BUENOS AIRES,2014,5,98.9232
ARG,Argentina,BUENOS AIRES,2014,6,98.9232
ARG,Argentina,BUENOS AIRES,2014,7,98.9232
ARG,Argentina,BUENOS AIRES,2014,8,98.9232
ARG,Argentina,BUENOS AIRES,2014,9,98.9232
ARG,Argentina,BUENOS AIRES,2014,10,98.9232
ARG,Argentina,BUENOS AIRES,2014,11,98.9232
ARG,Argentina,BUENOS AIRES,2014,12,98.9232
ARG,Argentina,BUENOS AIRES,2013,1,98.8642
ARG,Argentina,BUENOS AIRES,2013,2,98.8642
ARG,Argentina,BUENOS AIRES,2013,3,98.8642
ARG,Argentina,BUENOS AIRES,2013,4,98.8642
ARG,Argentina,BUENOS AIRES,2013,5,98.8642
ARG,Argentina,BUENOS AIRES,2013,6,98.8642
ARG,Argentina,BUENOS AIRES,2013,7,98.8642
ARG,Argentina,BUENOS AIRES,2013,8,98.8642
ARG,Argentina,BUENOS AIRES,2013,9,98.8642
ARG,Argentina,BUENOS AIRES,2013,10,98.8642
ARG,Argentina,BUENOS AIRES,2013,11,98.8642
ARG,Argentina,BUENOS AIRES,2013,12,98.8642
ARG,Argentina,BUENOS AIRES,2012,1,98.8053
ARG,Argentina,BUENOS AIRES,2012,2,98.8053
ARG,Argentina,BUENOS AIRES,2012,3,98.8053
ARG,Argentina,BUENOS AIRES,2012,4,98.8053
ARG,Argentina,BUENOS AIRES,2012,5,98.8053
ARG,Argentina,BUENOS AIRES,2012,6,98.8053
ARG,Argentina,BUENOS AIRES,2012,7,98.8053
ARG,Argentina,BUENOS AIRES,2012,8,98.8053
ARG,Argentina,BUENOS AIRES,2012,9,98.8053
ARG,Argentina,BUENOS AIRES,2012,10,98.8053
ARG,Argentina,BUENOS AIRES,2012,11,98.8053
ARG,Argentina,BUENOS AIRES,2012,12,98.8053
ARG,Argentina,BUENOS AIRES,2011,1,98.6219
ARG,Argentina,BUENOS AIRES,2011,2,98.6219
ARG,Argentina,BUENOS AIRES,2011,3,98.6219
ARG,Argentina,BUENOS AIRES,2011,4,98.6219
ARG,Argentina,BUENOS AIRES,2011,5,98.6219
ARG,Argentina,BUENOS AIRES,2011,6,98.6219
ARG,Argentina,BUENOS AIRES,2011,7,98.6219
ARG,Argentina,BUENOS AIRES,2011,8,98.6219
ARG,Argentina,BUENOS AIRES,2011,9,98.6219
ARG,Argentina,BUENOS AIRES,2011,10,98.6219
ARG,Argentina,BUENOS AIRES,2011,11,98.6219
ARG,Argentina,BUENOS AIRES,2011,12,98.6219
ARG,Argentina,BUENOS AIRES,2010,1,98.4341
ARG,Argentina,BUENOS AIRES,2010,2,98.4341
ARG,Argentina,BUENOS AIRES,2010,3,98.4341
ARG,Argentina,BUENOS AIRES,2010,4,98.4341
ARG,Argentina,BUENOS AIRES,2010,5,98.4341
ARG,Argentina,BUENOS AIRES,2010,6,98.4341
ARG,Argentina,BUENOS AIRES,2010,7,98.4341
ARG,Argentina,BUENOS AIRES,2010,8,98.4341
ARG,Argentina,BUENOS AIRES,2010,9,98.4341
ARG,Argentina,BUENOS AIRES,2010,10,98.4341
ARG,Argentina,BUENOS AIRES,2010,11,98.4341
ARG,Argentina,BUENOS AIRES,2010,12,98.4341
ARG,Argentina,CATAMARCA,2022,1,99.0414
ARG,Argentina,CATAMARCA,2022,2,99.0414
ARG,Argentina,CATAMARCA,2022,3,99.0414
ARG,Argentina,CATAMARCA,2022,4,99.0414
ARG,Argentina,CATAMARCA,2022,5,99.0414
ARG,Argentina,CATAMARCA,2022,6,99.0414
ARG,Argentina,CATAMARCA,2022,7,99.0414
ARG,Argentina,CATAMARCA,2022,8,99.0414
ARG,Argentina,CATAMARCA,2022,9,99.0414
ARG,Argentina,CATAMARCA,2022,10,99.0414
ARG,Argentina,CATAMARCA,2022,11,99.0414
ARG,Argentina,CATAMARCA,2022,12,99.0414
ARG,Argentina,CATAMARCA,2021,1,99.0414
ARG,Argentina,CATAMARCA,2021,2,99.0414
ARG,Argentina,CATAMARCA,2021,3,99.0414
ARG,Argentina,CATAMARCA,2021,4,99.0414
ARG,Argentina,CATAMARCA,2021,5,99.0414
ARG,Argentina,CATAMARCA,2021,6,99.0414
ARG,Argentina,CATAMARCA,2021,7,99.0414
ARG,Argentina,CATAMARCA,2021,8,99.0414
ARG,Argentina,CATAMARCA,2021,9,99.0414
ARG,Argentina,CATAMARCA,2021,10,99.0414
ARG,Argentina,CATAMARCA,2021,11,99.0414
ARG,Argentina,CATAMARCA,2021,12,99.0414
ARG,Argentina,CATAMARCA,2020,1,99.0414
ARG,Argentina,CATAMARCA,2020,2,99.0414
ARG,Argentina,CATAMARCA,2020,3,99.0414
ARG,Argentina,CATAMARCA,2020,4,99.0414
ARG,Argentina,CATAMARCA,2020,5,99.0414
ARG,Argentina,CATAMARCA,2020,6,99.0414
ARG,Argentina,CATAMARCA,2020,7,99.0414
ARG,Argentina,CATAMARCA,2020,8,99.0414
ARG,Argentina,CATAMARCA,2020,9,99.0414
ARG,Argentina,CATAMARCA,2020,10,99.0414
ARG,Argentina,CATAMARCA,2020,11,99.0414
ARG,Argentina,CATAMARCA,2020,12,99.0414
ARG,Argentina,CATAMARCA,2019,1,99.0414
ARG,Argentina,CATAMARCA,2019,2,99.0414
ARG,Argentina,CATAMARCA,2019,3,99.0414
ARG,Argentina,CATAMARCA,2019,4,99.0414
ARG,Argentina,CATAMARCA,2019,5,99.0414
ARG,Argentina,CATAMARCA,2019,6,99.0414
ARG,Argentina,CATAMARCA,2019,7,99.0414
ARG,Argentina,CATAMARCA,2019,8,99.0414
ARG,Argentina,CATAMARCA,2019,9,99.0414
ARG,Argentina,CATAMARCA,2019,10,99.0414
ARG,Argentina,CATAMARCA,2019,11,99.0414
ARG,Argentina,CATAMARCA,2019,12,99.0414
ARG,Argentina,CATAMARCA,2018,1,99.0414
ARG,Argentina,CATAMARCA,2018,2,99.0414
ARG,Argentina,CATAMARCA,2018,3,99.0414
ARG,Argentina,CATAMARCA,2018,4,99.0414
ARG,Argentina,CATAMARCA,2018,5,99.0414
ARG,Argentina,CATAMARCA,2018,6,99.0414
ARG,Argentina,CATAMARCA,2018,7,99.0414
ARG,Argentina,CATAMARCA,2018,8,99.0414
ARG,Argentina,CATAMARCA,2018,9,99.0414
ARG,Argentina,CATAMARCA,2018,10,99.0414
ARG,Argentina,CATAMARCA,2018,11,99.0414
ARG,Argentina,CATAMARCA,2018,12,99.0414
ARG,Argentina,CATAMARCA,2017,1,99.0414
ARG,Argentina,CATAMARCA,2017,2,99.0414
ARG,Argentina,CATAMARCA,2017,3,99.0414
ARG,Argentina,CATAMARCA,2017,4,99.0414
ARG,Argentina,CATAMARCA,2017,5,99.0414
ARG,Argentina,CATAMARCA,2017,6,99.0414
ARG,Argentina,CATAMARCA,2017,7,99.0414
ARG,Argentina,CATAMARCA,2017,8,99.0414
ARG,Argentina,CATAMARCA,2017,9,99.0414
ARG,Argentina,CATAMARCA,2017,10,99.0414
ARG,Argentina,CATAMARCA,2017,11,99.0414
ARG,Argentina,CATAMARCA,2017,12,99.0414
ARG,Argentina,CATAMARCA,2016,1,99.0414
ARG,Argentina,CATAMARCA,2016,2,99.0414
ARG,Argentina,CATAMARCA,2016,3,99.0414
ARG,Argentina,CATAMARCA,2016,4,99.0414
ARG,Argentina,CATAMARCA,2016,5,99.0414
ARG,Argentina,CATAMARCA,2016,6,99.0414
ARG,Argentina,CATAMARCA,2016,7,99.0414
ARG,Argentina,CATAMARCA,2016,8,99.0414
ARG,Argentina,CATAMARCA,2016,9,99.0414
ARG,Argentina,CATAMARCA,2016,10,99.0414
ARG,Argentina,CATAMARCA,2016,11,99.0414
ARG,Argentina,CATAMARCA,2016,12,99.0414
ARG,Argentina,CATAMARCA,2015,1,98.9823
ARG,Argentina,CATAMARCA,2015,2,98.9823
ARG,Argentina,CATAMARCA,2015,3,98.9823
ARG,Argentina,CATAMARCA,2015,4,98.9823
ARG,Argentina,CATAMARCA,2015,5,98.9823
ARG,Argentina,CATAMARCA,2015,6,98.9823
ARG,Argentina,CATAMARCA,2015,7,98.9823
ARG,Argentina,CATAMARCA,2015,8,98.9823
ARG,Argentina,CATAMARCA,2015,9,98.9823
ARG,Argentina,CATAMARCA,2015,10,98.9823
ARG,Argentina,CATAMARCA,2015,11,98.9823
ARG,Argentina,CATAMARCA,2015,12,98.9823
ARG,Argentina,CATAMARCA,2014,1,98.9232
ARG,Argentina,CATAMARCA,2014,2,98.9232
ARG,Argentina,CATAMARCA,2014,3,98.9232
ARG,Argentina,CATAMARCA,2014,4,98.9232
ARG,Argentina,CATAMARCA,2014,5,98.9232
ARG,Argentina,CATAMARCA,2014,6,98.9232
ARG,Argentina,CATAMARCA,2014,7,98.9232
ARG,Argentina,CATAMARCA,2014,8,98.9232
ARG,Argentina,CATAMARCA,2014,9,98.9232
ARG,Argentina,CATAMARCA,2014,10,98.9232
ARG,Argentina,CATAMARCA,2014,11,98.9232
ARG,Argentina,CATAMARCA,2014,12,98.9232
ARG,Argentina,CATAMARCA,2013,1,98.8642
ARG,Argentina,CATAMARCA,2013,2,98.8642
ARG,Argentina,CATAMARCA,2013,3,98.8642
ARG,Argentina,CATAMARCA,2013,4,98.8642
ARG,Argentina,CATAMARCA,2013,5,98.8642
ARG,Argentina,CATAMARCA,2013,6,98.8642
ARG,Argentina,CATAMARCA,2013,7,98.8642
ARG,Argentina,CATAMARCA,2013,8,98.8642
ARG,Argentina,CATAMARCA,2013,9,98.8642
ARG,Argentina,CATAMARCA,2013,10,98.8642
ARG,Argentina,CATAMARCA,2013,11,98.8642
ARG,Argentina,CATAMARCA,2013,12,98.8642
ARG,Argentina,CATAMARCA,2012,1,98.8053
ARG,Argentina,CATAMARCA,2012,2,98.8053
ARG,Argentina,CATAMARCA,2012,3,98.8053
ARG,Argentina,CATAMARCA,2012,4,98.8053
ARG,Argentina,CATAMARCA,2012,5,98.8053
ARG,Argentina,CATAMARCA,2012,6,98.8053
ARG,Argentina,CATAMARCA,2012,7,98.8053
ARG,Argentina,CATAMARCA,2012,8,98.8053
ARG,Argentina,CATAMARCA,2012,9,98.8053
ARG,Argentina,CATAMARCA,2012,10,98.8053
ARG,Argentina,CATAMARCA,2012,11,98.8053
ARG,Argentina,CATAMARCA,2012,12,98.8053
ARG,Argentina,CATAMARCA,2011,1,98.6219
ARG,Argentina,CATAMARCA,2011,2,98.6219
ARG,Argentina,CATAMARCA,2011,3,98.6219
ARG,Argentina,CATAMARCA,2011,4,98.6219
ARG,Argentina,CATAMARCA,2011,5,98.6219
ARG,Argentina,CATAMARCA,2011,6,98.6219
ARG,Argentina,CATAMARCA,2011,7,98.6219
ARG,Argentina,CATAMARCA,2011,8,98.6219
ARG,Argentina,CATAMARCA,2011,9,98.6219
ARG,Argentina,CATAMARCA,2011,10,98.6219
ARG,Argentina,CATAMARCA,2011,11,98.6219
ARG,Argentina,CATAMARCA,2011,12,98.6219
ARG,Argentina,CATAMARCA,2010,1,98.4341
ARG,Argentina,CATAMARCA,2010,2,98.4341
ARG,Argentina,CATAMARCA,2010,3,98.4341
ARG,Argentina,CATAMARCA,2010,4,98.4341
ARG,Argentina,CATAMARCA,2010,5,98.4341
ARG,Argentina,CATAMARCA,2010,6,98.4341
ARG,Argentina,CATAMARCA,2010,7,98.4341
ARG,Argentina,CATAMARCA,2010,8,98.4341
ARG,Argentina,CATAMARCA,2010,9,98.4341
ARG,Argentina,CATAMARCA,2010,10,98.4341
ARG,Argentina,CATAMARCA,2010,11,98.4341
ARG,Argentina,CATAMARCA,2010,12,98.4341
ARG,Argentina,CHACO,2022,1,99.0414
ARG,Argentina,CHACO,2022,2,99.0414
ARG,Argentina,CHACO,2022,3,99.0414
ARG,Argentina,CHACO,2022,4,99.0414
ARG,Argentina,CHACO,2022,5,99.0414
ARG,Argentina,CHACO,2022,6,99.0414
ARG,Argentina,CHACO,2022,7,99.0414
ARG,Argentina,CHACO,2022,8,99.0414
ARG,Argentina,CHACO,2022,9,99.0414
ARG,Argentina,CHACO,2022,10,99.0414
ARG,Argentina,CHACO,2022,11,99.0414
ARG,Argentina,CHACO,2022,12,99.0414
ARG,Argentina,CHACO,2021,1,99.0414
ARG,Argentina,CHACO,2021,2,99.0414
ARG,Argentina,CHACO,2021,3,99.0414
ARG,Argentina,CHACO,2021,4,99.0414
ARG,Argentina,CHACO,2021,5,99.0414
ARG,Argentina,CHACO,2021,6,99.0414
ARG,Argentina,CHACO,2021,7,99.0414
ARG,Argentina,CHACO,2021,8,99.0414
ARG,Argentina,CHACO,2021,9,99.0414
ARG,Argentina,CHACO,2021,10,99.0414
ARG,Argentina,CHACO,2021,11,99.0414
ARG,Argentina,CHACO,2021,12,99.0414
ARG,Argentina,CHACO,2020,1,99.0414
ARG,Argentina,CHACO,2020,2,99.0414
ARG,Argentina,CHACO,2020,3,99.0414
ARG,Argentina,CHACO,2020,4,99.0414
ARG,Argentina,CHACO,2020,5,99.0414
ARG,Argentina,CHACO,2020,6,99.0414
ARG,Argentina,CHACO,2020,7,99.0414
ARG,Argentina,CHACO,2020,8,99.0414
ARG,Argentina,CHACO,2020,9,99.0414
ARG,Argentina,CHACO,2020,10,99.0414
ARG,Argentina,CHACO,2020,11,99.0414
ARG,Argentina,CHACO,2020,12,99.0414
ARG,Argentina,CHACO,2019,1,99.0414
ARG,Argentina,CHACO,2019,2,99.0414
ARG,Argentina,CHACO,2019,3,99.0414
ARG,Argentina,CHACO,2019,4,99.0414
ARG,Argentina,CHACO,2019,5,99.0414
ARG,Argentina,CHACO,2019,6,99.0414
ARG,Argentina,CHACO,2019,7,99.0414
ARG,Argentina,CHACO,2019,8,99.0414
ARG,Argentina,CHACO,2019,9,99.0414
ARG,Argentina,CHACO,2019,10,99.0414
ARG,Argentina,CHACO,2019,11,99.0414
ARG,Argentina,CHACO,2019,12,99.0414
ARG,Argentina,CHACO,2018,1,99.0414
ARG,Argentina,CHACO,2018,2,99.0414
ARG,Argentina,CHACO,2018,3,99.0414
ARG,Argentina,CHACO,2018,4,99.0414
ARG,Argentina,CHACO,2018,5,99.0414
ARG,Argentina,CHACO,2018,6,99.0414
ARG,Argentina,CHACO,2018,7,99.0414
ARG,Argentina,CHACO,2018,8,99.0414
ARG,Argentina,CHACO,2018,9,99.0414
ARG,Argentina,CHACO,2018,10,99.0414
ARG,Argentina,CHACO,2018,11,99.0414
ARG,Argentina,CHACO,2018,12,99.0414
ARG,Argentina,CHACO,2017,1,99.0414
ARG,Argentina,CHACO,2017,2,99.0414
ARG,Argentina,CHACO,2017,3,99.0414
ARG,Argentina,CHACO,2017,4,99.0414
ARG,Argentina,CHACO,2017,5,99.0414
ARG,Argentina,CHACO,2017,6,99.0414
ARG,Argentina,CHACO,2017,7,99.0414
ARG,Argentina,CHACO,2017,8,99.0414
ARG,Argentina,CHACO,2017,9,99.0414
ARG,Argentina,CHACO,2017,10,99.0414
ARG,Argentina,CHACO,2017,11,99.0414
ARG,Argentina,CHACO,2017,12,99.0414
ARG,Argentina,CHACO,2016,1,99.0414
ARG,Argentina,CHACO,2016,2,99.0414
ARG,Argentina,CHACO,2016,3,99.0414
ARG,Argentina,CHACO,2016,4,99.0414
ARG,Argentina,CHACO,2016,5,99.0414
ARG,Argentina,CHACO,2016,6,99.0414
ARG,Argentina,CHACO,2016,7,99.0414
ARG,Argentina,CHACO,2016,8,99.0414
ARG,Argentina,CHACO,2016,9,99.0414
ARG,Argentina,CHACO,2016,10,99.0414
ARG,Argentina,CHACO,2016,11,99.0414
ARG,Argentina,CHACO,2016,12,99.0414
ARG,Argentina,CHACO,2015,1,98.9823
ARG,Argentina,CHACO,2015,2,98.9823
ARG,Argentina,CHACO,2015,3,98.9823
ARG,Argentina,CHACO,2015,4,98.9823
ARG,Argentina,CHACO,2015,5,98.9823
ARG,Argentina,CHACO,2015,6,98.9823
ARG,Argentina,CHACO,2015,7,98.9823
ARG,Argentina,CHACO,2015,8,98.9823
ARG,Argentina,CHACO,2015,9,98.9823
ARG,Argentina,CHACO,2015,10,98.9823
ARG,Argentina,CHACO,2015,11,98.9823
ARG,Argentina,CHACO,2015,12,98.9823
ARG,Argentina,CHACO,2014,1,98.9232
ARG,Argentina,CHACO,2014,2,98.9232
ARG,Argentina,CHACO,2014,3,98.9232
ARG,Argentina,CHACO,2014,4,98.9232
ARG,Argentina,CHACO,2014,5,98.9232
ARG,Argentina,CHACO,2014,6,98.9232
ARG,Argentina,CHACO,2014,7,98.9232
ARG,Argentina,CHACO,2014,8,98.9232
ARG,Argentina,CHACO,2014,9,98.9232
ARG,Argentina,CHACO,2014,10,98.9232
ARG,Argentina,CHACO,2014,11,98.9232
ARG,Argentina,CHACO,2014,12,98.9232
ARG,Argentina,CHACO,2013,1,98.8642
ARG,Argentina,CHACO,2013,2,98.8642
ARG,Argentina,CHACO,2013,3,98.8642
ARG,Argentina,CHACO,2013,4,98.8642
ARG,Argentina,CHACO,2013,5,98.8642
ARG,Argentina,CHACO,2013,6,98.8642
ARG,Argentina,CHACO,2013,7,98.8642
ARG,Argentina,CHACO,2013,8,98.8642
ARG,Argentina,CHACO,2013,9,98.8642
ARG,Argentina,CHACO,2013,10,98.8642
ARG,Argentina,CHACO,2013,11,98.8642
ARG,Argentina,CHACO,2013,12,98.8642
ARG,Argentina,CHACO,2012,1,98.8053
ARG,Argentina,CHACO,2012,2,98.8053
ARG,Argentina,CHACO,2012,3,98.8053
ARG,Argentina,CHACO,2012,4,98.8053
ARG,Argentina,CHACO,2012,5,98.8053
ARG,Argentina,CHACO,2012,6,98.8053
ARG,Argentina,CHACO,2012,7,98.8053
ARG,Argentina,CHACO,2012,8,98.8053
ARG,Argentina,CHACO,2012,9,98.8053
ARG,Argentina,CHACO,2012,10,98.8053
ARG,Argentina,CHACO,2012,11,98.8053
ARG,Argentina,CHACO,2012,12,98.8053
ARG,Argentina,CHACO,2011,1,98.6219
ARG,Argentina,CHACO,2011,2,98.6219
ARG,Argentina,CHACO,2011,3,98.6219
ARG,Argentina,CHACO,2011,4,98.6219
ARG,Argentina,CHACO,2011,5,98.6219
ARG,Argentina,CHACO,2011,6,98.6219
ARG,Argentina,CHACO,2011,7,98.6219
ARG,Argentina,CHACO,2011,8,98.6219
ARG,Argentina,CHACO,2011,9,98.6219
ARG,Argentina,CHACO,2011,10,98.6219
ARG,Argentina,CHACO,2011,11,98.6219
ARG,Argentina,CHACO,2011,12,98.6219
ARG,Argentina,CHACO,2010,1,98.4341
ARG,Argentina,CHACO,2010,2,98.4341
ARG,Argentina,CHACO,2010,3,98.4341
ARG,Argentina,CHACO,2010,4,98.4341
ARG,Argentina,CHACO,2010,5,98.4341
ARG,Argentina,CHACO,2010,6,98.4341
ARG,Argentina,CHACO,2010,7,98.4341
ARG,Argentina,CHACO,2010,8,98.4341
ARG,Argentina,CHACO,2010,9,98.4341
ARG,Argentina,CHACO,2010,10,98.4341
ARG,Argentina,CHACO,2010,11,98.4341
ARG,Argentina,CHACO,2010,12,98.4341
ARG,Argentina,CORDOBA,2022,1,99.0414
ARG,Argentina,CORDOBA,2022,2,99.0414
ARG,Argentina,CORDOBA,2022,3,99.0414
ARG,Argentina,CORDOBA,2022,4,99.0414
ARG,Argentina,CORDOBA,2022,5,99.0414
ARG,Argentina,CORDOBA,2022,6,99.0414
ARG,Argentina,CORDOBA,2022,7,99.0414
ARG,Argentina,CORDOBA,2022,8,99.0414
ARG,Argentina,CORDOBA,2022,9,99.0414
ARG,Argentina,CORDOBA,2022,10,99.0414
ARG,Argentina,CORDOBA,2022,11,99.0414
ARG,Argentina,CORDOBA,2022,12,99.0414
ARG,Argentina,CORDOBA,2021,1,99.0414
ARG,Argentina,CORDOBA,2021,2,99.0414
ARG,Argentina,CORDOBA,2021,3,99.0414
ARG,Argentina,CORDOBA,2021,4,99.0414
ARG,Argentina,CORDOBA,2021,5,99.0414
ARG,Argentina,CORDOBA,2021,6,99.0414
ARG,Argentina,CORDOBA,2021,7,99.0414
ARG,Argentina,CORDOBA,2021,8,99.0414
ARG,Argentina,CORDOBA,2021,9,99.0414
ARG,Argentina,CORDOBA,2021,10,99.0414
ARG,Argentina,CORDOBA,2021,11,99.0414
ARG,Argentina,CORDOBA,2021,12,99.0414
ARG,Argentina,CORDOBA,2020,1,99.0414
ARG,Argentina,CORDOBA,2020,2,99.0414
ARG,Argentina,CORDOBA,2020,3,99.0414
ARG,Argentina,CORDOBA,2020,4,99.0414
ARG,Argentina,CORDOBA,2020,5,99.0414
ARG,Argentina,CORDOBA,2020,6,99.0414
ARG,Argentina,CORDOBA,2020,7,99.0414
ARG,Argentina,CORDOBA,2020,8,99.0414
ARG,Argentina,CORDOBA,2020,9,99.0414
ARG,Argentina,CORDOBA,2020,10,99.0414
ARG,Argentina,CORDOBA,2020,11,99.0414
ARG,Argentina,CORDOBA,2020,12,99.0414
ARG,Argentina,CORDOBA,2019,1,99.0414
ARG,Argentina,CORDOBA,2019,2,99.0414
ARG,Argentina,CORDOBA,2019,3,99.0414
ARG,Argentina,CORDOBA,2019,4,99.0414
ARG,Argentina,CORDOBA,2019,5,99.0414
ARG,Argentina,CORDOBA,2019,6,99.0414
ARG,Argentina,CORDOBA,2019,7,99.0414
ARG,Argentina,CORDOBA,2019,8,99.0414
ARG,Argentina,CORDOBA,2019,9,99.0414
ARG,Argentina,CORDOBA,2019,10,99.0414
ARG,Argentina,CORDOBA,2019,11,99.0414
ARG,Argentina,CORDOBA,2019,12,99.0414
ARG,Argentina,CORDOBA,2018,1,99.0414
ARG,Argentina,CORDOBA,2018,2,99.0414
ARG,Argentina,CORDOBA,2018,3,99.0414
ARG,Argentina,CORDOBA,2018,4,99.0414
ARG,Argentina,CORDOBA,2018,5,99.0414
ARG,Argentina,CORDOBA,2018,6,99.0414
ARG,Argentina,CORDOBA,2018,7,99.0414
ARG,Argentina,CORDOBA,2018,8,99.0414
ARG,Argentina,CORDOBA,2018,9,99.0414
